1.001260511321738278e+01,1.001318552701479980e+01,9.998179356229513814e+00
9.721051107391353696e+00,9.778092153988298563e+00,1.007143892789703443e+01
9.524670009448499286e+00,9.690989728751393528e+00,1.011719612817014458e+01
9.345589465351777037e+00,9.465516705437051925e+00,1.015529346939584165e+01
9.063297689414504532e+00,9.359465583843691761e+00,1.022154507309426208e+01
8.809266932915530646e+00,9.121593123011450643e+00,1.026028811654236961e+01
8.639115703157655091e+00,9.018673264614315954e+00,1.033446647009912311e+01
8.488601455478885782e+00,8.786778486297906809e+00,1.038762997391077114e+01
8.196779916683125222e+00,8.703551966776572613e+00,1.043375375574397168e+01
8.010285360626731688e+00,8.519770350670704318e+00,1.050638118206444105e+01
